 Air Date; Round; Category; Value; Question; Answer
18/01/2012;Jeopardy!;ONE LETTER DIFFERENT;$600;Humorous wordplay about a quill;a pen pun (a pun about a pen accepted)
18/01/2012;Jeopardy!;THE LAND;$600;Look east! Japan has long been known by this dawning nickname;the Land of the Rising Sun
18/01/2012;Jeopardy!;OF MILK;$600;This sugar makes up almost all the carbohydrates in milk;lactose
18/01/2012;Jeopardy!;& HONEY;$600;"& Honey, it's May--we gotta call your mom in London for Mother's Day; don't forget it's this many hours ahead of N.Y. time";five
18/01/2012;Jeopardy!;HISTORIC DATES;$800;He dissolved England's Rump Parliament on April 20, 1653;Cromwell
18/01/2012;Jeopardy!;SPORTS SHORTS;$800;He split 2 1980 title fights with Roberto Duran;Sugar Ray Leonard
18/01/2012;Jeopardy!;ONE LETTER DIFFERENT;$800;A hole in the ground for your baked pastry;a pie pit
18/01/2012;Jeopardy!;THE LAND;$800;After killing Abel, Cain was banished to the sleepy-sounding land of this place, east of Eden;Nod
18/01/2012;Jeopardy!;OF MILK;$800;Canned milk that has 60% of the water removed is known by this 10-letter term;evaporated
18/01/2012;Jeopardy!;& HONEY;$800;& Honey, could you take the minivan to the mechanic? It's still making noise here, also called the gearbox;the transmission
18/01/2012;Jeopardy!;HISTORIC DATES;$1000;The accident of April 25-26, 1986 at this facility was caused by a poorly designed experiment at its reactor unit 4;Chernobyl
18/01/2012;Jeopardy!;SPORTS SHORTS;$1000;Since 2009 the Mercury, Storm & Lynx have been championship teams in this league;the WNBA
18/01/2012;Jeopardy!;ONE LETTER DIFFERENT;$1000;A speechless minute arachnid;a mute mite
18/01/2012;Jeopardy!;THE LAND;$1000;"The name of this state is from Choctaw & means it's the land of the ""red people""";Oklahoma
18/01/2012;Jeopardy!;OF MILK;$2,200;Mongolians cool off with airag, a slightly fermented version of this alliterative liquid;mare's milk
18/01/2012;Jeopardy!;& HONEY;$1000;"& Honey, while you're up, can you grab my copy of ""Caligula"" by this French-Algerian author? He's so existential";(Albert) Camus
18/01/2012;Double Jeopardy!;ANY FIRST WORDS?;$400;"Meaning ""first"", it can precede color, election or health care";primary
18/01/2012;Double Jeopardy!;SYMBOLOGY;$400;"<a href=""http://www.j-archive.com/media/2012-01-18_DJ_18.jpg"" target=""_blank"">On a map</a>";a capital
18/01/2012;Double Jeopardy!;POP CULTURE;$400;"He's the transatlantic TV, film & stand-up comic seen <a href=""http://www.j-archive.com/media/2012-01-18_DJ_12.jpg"" target=""_blank"">here</a>";Ricky Gervais
18/01/2012;Double Jeopardy!;"MISCELLAN""IUM""";$400;Not just women but men over 50 also need at least 1,200 mg of this bone-building element daily;calcium
18/01/2012;Double Jeopardy!;OLD VIRGINIA;$400;He was cornered & fatally wounded by federal troops on a farm near Port Royal, Virginia on April 26, 1865;John Wilkes Booth
18/01/2012;Double Jeopardy!;BARTLETT'S PAIRS;$400;Ernest L. Thayer is represented by a pair of quotations, both from this baseball poem;"""Casey at the Bat"""
18/01/2012;Double Jeopardy!;ANY FIRST WORDS?;$800;Aussies are familiar with this term for native inhabitants that once referred to pre-Roman Italians;aborigines
18/01/2012;Double Jeopardy!;SYMBOLOGY;$800;"In math, <a href=""http://www.j-archive.com/media/2012-01-18_DJ_19.jpg"" target=""_blank"">this</a> set";the null set (or empty set)
18/01/2012;Double Jeopardy!;POP CULTURE;$800;Snow White & Prince Charming are characters on this TV show set in the town of Storybrooke;Once Upon a Time
18/01/2012;Double Jeopardy!;"MISCELLAN""IUM""";$800;For many centuries this drug derived from a poppy was the main painkiller used in medicine;opium
18/01/2012;Double Jeopardy!;OLD VIRGINIA;$800;President Jefferson sent this fellow Virginian, later our 5th president, to negotiate the Louisiana Purchase;(James) Monroe
18/01/2012;Double Jeopardy!;BARTLETT'S PAIRS;$800;"Fred Allen gets 2 zingers, including ""California's a wonderful place to live--if you happen to be"" this fruit";orange
18/01/2012;Double Jeopardy!;ANY FIRST WORDS?;$1200;"An adjective meaning ""first"", or a letter like ""F"" in F. Murray Abraham";an initial
18/01/2012;Double Jeopardy!;SYMBOLOGY;$1200;"<a href=""http://www.j-archive.com/media/2012-01-18_DJ_20.jpg"" target=""_blank"">In a weather report</a> (keep your response P.C.)";partly cloudy
18/01/2012;Double Jeopardy!;POP CULTURE;$1200;"This man who died in 1918 was Snoopy's cursed nemesis in ""Peanuts""";the Red Baron
18/01/2012;Double Jeopardy!;"MISCELLAN""IUM""";$1200;Once the open main court of a Roman house, it's now a skylit central court in an office building or hotel;atrium
18/01/2012;Double Jeopardy!;OLD VIRGINIA;$3,400;In 1699 the capital of Virginia was moved from Jamestown to this city;Williamsburg
18/01/2012;Double Jeopardy!;BARTLETT'S PAIRS;$1200;Kenneth Grahame's 2 quotes both come from this children's book;The Wind in the Willows
18/01/2012;Double Jeopardy!;ANY FIRST WORDS?;$1600;"Something that's leading in every respect is ""first &"" this superlative adjective";foremost
18/01/2012;Double Jeopardy!;SYMBOLOGY;$1600;"<a href=""http://www.j-archive.com/media/2012-01-18_DJ_21.jpg"" target=""_blank"">In astrology</a>";Venus
18/01/2012;Double Jeopardy!;POP CULTURE;$1600;"In a 2011 movie comedy, the 3 title ""horrible"" these were summarized as psycho, maneater & tool";bosses
18/01/2012;Double Jeopardy!;"MISCELLAN""IUM""";$1600;The Latin name for ancient Troy, it's also a broad flat hipbone;Ilium
18/01/2012;Double Jeopardy!;OLD VIRGINIA;$1600;"In 1763 this gifted orator & lawyer presented the ""Parson's Cause"", an early test case of royal authority";Patrick Henry
18/01/2012;Double Jeopardy!;BARTLETT'S PAIRS;$1600;"The 2 quotes by Charles Evans Hughes, the USA's 11th this, include ""The Constitution is what the judges say it is""";Chief Justice
18/01/2012;Double Jeopardy!;ANY FIRST WORDS?;$2000;Jung was fond of this word, an original pattern from which all similar things are based;an archetype
18/01/2012;Double Jeopardy!;SYMBOLOGY;$2000;"<a href=""http://www.j-archive.com/media/2012-01-18_DJ_22.jpg"" target=""_blank"">In particle physics</a>";an alpha particle
18/01/2012;Double Jeopardy!;POP CULTURE;$3,000;"This late country singer called his autobiography ""Thirty Years of Sausage, Fifty Years of Ham""";Jimmy Dean
18/01/2012;Double Jeopardy!;"MISCELLAN""IUM""";$2000;It's the muscle tissue that forms the middle layer of the heart's walls;myocardium
18/01/2012;Double Jeopardy!;OLD VIRGINIA;$2000;In 1716 Virginia's governor claimed possession of this scenic valley for England;the Shenandoah Valley
18/01/2012;Double Jeopardy!;BARTLETT'S PAIRS;$2000;"The first of this French playwright's 2 quotes begins, ""A great nose indicates a great man""";Edmond Rostand
18/01/2012;Final Jeopardy!;FATHERS & SONS;None;The island where this man's son washed ashore was later named Ikaria;Daedalus
03/01/2012;Jeopardy!;1812;$200;"In 1812 he completed his 7th & 8th Symphonies & wrote a letter in which he asked, ""Can our love endure...""";Beethoven
03/01/2012;Jeopardy!;PATENTS OF WELL-KNOWN FOLKS;$200;"Patented March 1, 1921 was an improved ""Diver's suit"" by this escape artist";Houdini
03/01/2012;Jeopardy!;THE NUMBER AFTER 1: LITERARY EDITION;$200;The storming of the Bastille & death carts filled with human cargo are features of this Dickens novel;A Tale of Two Cities
03/01/2012;Jeopardy!;TAKING STOCK;$200;Very taxing: HRB;H&R Block
03/01/2012;Jeopardy!;LAND O' LAKERS;$200;Sean Connery went shoeless when imprinting his feet in the cement at this Hollywood theater;Grauman's Chinese Theater
03/01/2012;Jeopardy!;"""OLD"" ENGLISH";$200;A card game, or an unflattering term for an elderly unmarried woman;Old Maid
03/01/2012;Jeopardy!;1812;$400;In October the capital of Pennsylvania moved permanently from Lancaster to this city;Harrisburg
03/01/2012;Jeopardy!;PATENTS OF WELL-KNOWN FOLKS;$400;"In 1993 this ""Billie Jean"" singer co-patented a ""Method and means for creating anti-gravity illusion""";Michael Jackson
03/01/2012;Jeopardy!;THE NUMBER AFTER 1: LITERARY EDITION;$2,400;"""Helm's Deep"" & ""The Taming of Smeagol"" are chapters in this ""Two""-titled book";The Two Towers
03/01/2012;Jeopardy!;TAKING STOCK;$400;Athletically, it's a shoe-in: FL;Foot Locker
03/01/2012;Jeopardy!;LAND O' LAKERS;$400;"L.A.'s city fathers renamed Weyse Avenue this street; ""Hollywood & Weyse"" just didn't cling";Vine
03/01/2012;Jeopardy!;"""OLD"" ENGLISH";$400;Put on your thinking chapeau & give us this apparel-related term for something trite or out of date;old-fashioned (or old hat)
03/01/2012;Jeopardy!;1812;$600;In November this president was re-elected, defeating DeWitt Clinton;Madison
03/01/2012;Jeopardy!;PATENTS OF WELL-KNOWN FOLKS;$600;This guitarist patented a device to permit total freedom of the player's hands... think David Lee Roth got a cut?;(Eddie) Van Halen
03/01/2012;Jeopardy!;THE NUMBER AFTER 1: LITERARY EDITION;$600;"This Belgian detective doesn't buy suicide as the cause of a dentist's death in ""One, Two, Buckle My Shoe""";(Hercule) Poirot
03/01/2012;Jeopardy!;TAKING STOCK;$600;More than makeup: EL;Estee Lauder
03/01/2012;Jeopardy!;LAND O' LAKERS;$600;This L.A. arena, home to the Lakers & the site of 9 Grammy Awards, is named for an office-supply company;the Staples Center
03/01/2012;Jeopardy!;"""OLD"" ENGLISH";$600;"""Educational"" term for something from an earlier era";old school
03/01/2012;Jeopardy!;1812;$800;"City this of New York opened in 1812: 200 years later it's still around, with the ""y"" now a second ""i""";Bank
03/01/2012;Jeopardy!;PATENTS OF WELL-KNOWN FOLKS;$800;In 2004 he was mayor of NYC when he officially co-designed a new telephone handset;(Michael) Bloomberg
03/01/2012;Jeopardy!;THE NUMBER AFTER 1: LITERARY EDITION;$800;Proteus loves Julia, but another woman catches his eye in this Shakespeare play;The Two Gentlemen of Verona
03/01/2012;Jeopardy!;TAKING STOCK;$800;For upscale handbags: COH;Coach
03/01/2012;Jeopardy!;LAND O' LAKERS;$800;"The Nisei Week Festival is held every August in the section of Los Angeles known as ""Little"" this city";Tokyo
03/01/2012;Jeopardy!;"""OLD"" ENGLISH";$800;A painting by a distinguished artist, or the artist himself;an old master
03/01/2012;Jeopardy!;1812;$1000;On February 27 this poet addressed the House of Lords for the first time, speaking on the Luddite rioting;Lord Byron
03/01/2012;Jeopardy!;PATENTS OF WELL-KNOWN FOLKS;$1000;No. 4,753,647 went to this Activia-selling actress for a diaper with a handy sanitary wipe tucked inside;(Jamie Lee) Curtis
03/01/2012;Jeopardy!;THE NUMBER AFTER 1: LITERARY EDITION;$1000;"Dominick Dunne wrote about a pair of women in a navy ensign's life in ""The Two Mrs."" these";Grenvilles
03/01/2012;Jeopardy!;TAKING STOCK;$1000;The casino went boom, but the corporation endures: LVS;Las Vegas Sands
03/01/2012;Jeopardy!;LAND O' LAKERS;$1000;Simon Rodia built the folk art towers named for this South L.A. community between 1921 & 1954;Watts
03/01/2012;Jeopardy!;"""OLD"" ENGLISH";$1000;"""Earthy"" term for one's country of origin, especially if it's Ireland";the Old Sod
03/01/2012;Double Jeopardy!;MEDICINE MEN;$400;On James Lind's advice, in 1795 the British navy began issuing daily rations of lemon juice to prevent this disease;scurvy
03/01/2012;Double Jeopardy!;APPETIZERS;$400;The signature appetizer at P.F. Chang's is chicken in cups of this vegetable;lettuce
03/01/2012;Double Jeopardy!;THE ATTORNEY GENERAL INFORMATION;$400;"She... that's all you need, really; of roughly 4 score to hold the post, she's the only she";(Janet) Reno
03/01/2012;Double Jeopardy!;COLLEGE NICKNAME'S THE SAME;$400;U. of Washington, UConn;Huskies
03/01/2012;Double Jeopardy!;CITY SEALS;$400;The city seal of Omaha features a farmer & a Native American standing on the banks of this river;the Missouri River
03/01/2012;Double Jeopardy!;FROM THE LATIN;$400;"This opposite of analog comes from the Latin for ""finger""";digital
03/01/2012;Double Jeopardy!;MEDICINE MEN;$800;Edward Jenner came up with the first successful vaccine, one that prevented this deadly disease;smallpox
03/01/2012;Double Jeopardy!;APPETIZERS;$800;A delicious hors d'oeuvre is this French cheese, perhaps de Melun, baked in pastry;Brie
03/01/2012;Double Jeopardy!;THE ATTORNEY GENERAL INFORMATION;$800;"In 1992 he authored ""With Reagan: The Inside Story""; his name isn't the plural of ""mouse""";(Edwin) Meese
03/01/2012;Double Jeopardy!;COLLEGE NICKNAME'S THE SAME;$800;Gonzaga, Yale;Bulldogs
03/01/2012;Double Jeopardy!;CITY SEALS;$800;St, Anthony Falls & a suspension bridge across the Mississippi River are on this Minnesota city's seal;Minneapolis
03/01/2012;Double Jeopardy!;FROM THE LATIN;$800;"This ""holy"" synonym for wedlock comes from the Latin for ""marriage""";matrimony
03/01/2012;Double Jeopardy!;MEDICINE MEN;$1,400;In 1895 he began replacing hypnosis as a form of therapy with free association;Sigmund Freud
03/01/2012;Double Jeopardy!;APPETIZERS;$1200;"This French-named type of appetizer, seen <a href=""http://www.j-archive.com/media/2012-01-03_DJ_03.jpg"" target=""_blank"">here</a>, can feature a wide variety of toppings";canapé
03/01/2012;Double Jeopardy!;THE ATTORNEY GENERAL INFORMATION;$1200;He became Attorney General in 2001, shortly after losing his re-election race as a senator from Missouri;John Ashcroft
03/01/2012;Double Jeopardy!;COLLEGE NICKNAME'S THE SAME;$1200;West Virginia, Appalachian State;Mountaineers
03/01/2012;Double Jeopardy!;CITY SEALS;$1200;You'll find a hornet's nest on a tree branch depicted on this North Carolina city's seal;Charlotte
03/01/2012;Double Jeopardy!;FROM THE LATIN;$1200;"That's funny--the name of this arm bone is from the Latin for ""shoulder""";humerus
03/01/2012;Double Jeopardy!;MEDICINE MEN;$1600;"""Penicillin Man"" is a book about this bacteriologist & his discovery";(Alexander) Fleming
03/01/2012;Double Jeopardy!;APPETIZERS;$1600;Baba ghanoush is a dip made with this large purplish member of the nightshade family;eggplant
03/01/2012;Double Jeopardy!;THE ATTORNEY GENERAL INFORMATION;$700;He's the only Attorney General ever convicted of a felony;John Mitchell
03/01/2012;Double Jeopardy!;COLLEGE NICKNAME'S THE SAME;$1600;Temple, Rice;Owls
03/01/2012;Double Jeopardy!;CITY SEALS;$1600;This peak is depicted in the background of the seal of Portland, Oregon;Mt. Hood
03/01/2012;Double Jeopardy!;FROM THE LATIN;$1600;"This word meaning to compel into military service comes partly from the Latin for ""to write""";conscript
03/01/2012;Double Jeopardy!;MEDICINE MEN;$2000;"(<a href=""http://www.j-archive.com/media/2012-01-03_DJ_25.wmv"">Kelly of the Clue Crew shows us a diagram of the human circulatory system on the monitor.</a>)  The theory that blood circulates from the heart through the body's arteries & back to the heart through the veins was first explained by <a href=""http://www.j-archive.com/media/2012-01-03_DJ_25a.jpg"" target=""_blank"">this</a> Englishman in 1616";(William) Harvey
03/01/2012;Double Jeopardy!;APPETIZERS;$2000;A popular Louisiana appetizer, crawfish tails that have been shelled, battered & deep-fried are called Cajun this;popcorn
03/01/2012;Double Jeopardy!;THE ATTORNEY GENERAL INFORMATION;$2000;As Deputy A.G. 1997-2001, he made a controversial recommendation of a presidential pardon for Marc Rich;Eric Holder
03/01/2012;Double Jeopardy!;COLLEGE NICKNAME'S THE SAME;$2000;University of Houston, Washington State;Cougars
03/01/2012;Double Jeopardy!;CITY SEALS;$2000;Approved in 1939, the seal of this city in New York State features a barge being towed through a canal;Buffalo
03/01/2012;Double Jeopardy!;FROM THE LATIN;$2000;"Ovid used this Latin plural meaning ""transformations"" for a title";metamorphoses
03/01/2012;Final Jeopardy!;ASTRONOMY;None;In July 2011 it completed its first orbit around the Sun since its discovery in 1846;Neptune
24/01/2012;Jeopardy!;CANADIAN POSTAL ABBREVIATIONS;$200;BC;British Columbia
24/01/2012;Jeopardy!;MUSIC ALPHABET;$200;"""A"" is for a capella, from the Italian for ""in"" this place";in the chapel
24/01/2012;Jeopardy!;TV REALITY SHOWS BY WINNER;$200;In 2011: country crooner Scotty McCreery;American Idol
24/01/2012;Jeopardy!;NEW AGE THINKING;$200;"""Hair"" fans know this current ""age"" is a 2,000-year period of evolution toward world peace & enlightenment";Aquarius
24/01/2012;Jeopardy!;"LET'S TAKE A ""TRIP""";$200;Since 1900, only 12 baseball players have won this by leading a major league in batting average, home runs & RBIs;a triple crown
24/01/2012;Jeopardy!;YOU'LL NEED INSURANCE;$200;It's the term for the person entitled to get the proceeds of a policy upon the death of the insured;a beneficiary
24/01/2012;Jeopardy!;CANADIAN POSTAL ABBREVIATIONS;$400;AB;Alberta
24/01/2012;Jeopardy!;MUSIC ALPHABET;$400;"""B"" is for bis, sometimes used to ask musicians for this";an encore
24/01/2012;Jeopardy!;TV REALITY SHOWS BY WINNER;$400;In 2010: Bret Michaels, who wasn't fired but hired;Celebrity Apprentice
24/01/2012;Jeopardy!;NEW AGE THINKING;$400;This term for receiving energy & info from other levels of reality sounds like redirecting water along a passage;channeling
24/01/2012;Jeopardy!;"LET'S TAKE A ""TRIP""";$400;A low-placed concealed cable used to signal a trespasser by triggering an alarm;a tripwire
24/01/2012;Jeopardy!;YOU'LL NEED INSURANCE;$400;Medical liability insurance is better known as this type of insurance;malpractice insurance
24/01/2012;Jeopardy!;CANADIAN POSTAL ABBREVIATIONS;$600;NS;Nova Scotia
24/01/2012;Jeopardy!;MUSIC ALPHABET;$600;"""D"" is for decrescendo, which means this is happening to the music";it's getting quieter (or softer)
24/01/2012;Jeopardy!;TV REALITY SHOWS BY WINNER;$600;In 2009: chicken catcher Kevin Skinner, who wowed judges including David Hasselhoff with his singing;America's Got Talent
24/01/2012;Jeopardy!;NEW AGE THINKING;$600;"(<a href=""http://www.j-archive.com/media/2012-01-24_J_03.jpg"" target=""_blank"">Kelly of the Clue Crew stands by a diagram of a person in lotus position with seven colored dots along its vertical midline.</a>) Referring to its inner vision, the sixth <a href=""http://www.j-archive.com/media/2012-01-24_J_03a.jpg"" target=""_blank"">chakra</a> at the center of the forehead is also known by this other ordinal name";the third eye
24/01/2012;Jeopardy!;"LET'S TAKE A ""TRIP""";$600;"Often used for devotional purposes, it's the type of artwork seen <a href=""http://www.j-archive.com/media/2012-01-24_J_14.jpg"" target=""_blank"">here</a>";a triptych
24/01/2012;Jeopardy!;YOU'LL NEED INSURANCE;$600;"These ""tables"" that take their name from the Latin for ""record keeper"" are used to evaluate life expectancies";actuarial tables
24/01/2012;Jeopardy!;CANADIAN POSTAL ABBREVIATIONS;$800;YT;the Yukon Territory
24/01/2012;Jeopardy!;MUSIC ALPHABET;$800;"""L"" is for lacrimoso, meaning the music should be of this mood";tearful (or sad)
24/01/2012;Jeopardy!;NEW AGE THINKING;$800;On Aug. 16, 1987 followers of Jose Arguelles gathered in various spiritual centers for the harmonic this;convergence
24/01/2012;Jeopardy!;"LET'S TAKE A ""TRIP""";$800;Destroyed by the Mamelukes in the 13th century, today it's a leading city of Lebanon;Tripoli
24/01/2012;Jeopardy!;YOU'LL NEED INSURANCE;$3,400;A film noir classic, or a clause providing for payment of twice the face value of a policy;Double Indemnity
24/01/2012;Jeopardy!;CANADIAN POSTAL ABBREVIATIONS;$1000;PE;Prince Edward Island
24/01/2012;Jeopardy!;MUSIC ALPHABET;$1000;"""P"" is for pizzicato, which informs the string players to do this, also a ""P"" word";pluck
24/01/2012;Jeopardy!;NEW AGE THINKING;$1000;Seen here is an example of one of these graphic mystical meditation aids, whose name is from the Sanskrit for circle;mandala
24/01/2012;Jeopardy!;"LET'S TAKE A ""TRIP""";$1000;"This adverb sounds like it means clumsily, but it means the opposite in phrases like ""flows"" this way ""from the tongue""";trippingly
24/01/2012;Jeopardy!;YOU'LL NEED INSURANCE;$1000;Franz Kafka's day job was as a bureaucrat administering this type of compensation, like for accidents;workmen's compensation
24/01/2012;Double Jeopardy!;INSIDE THE BRAIN OF MEGAN FOX;$400;Megan's corpus callosum connects the right & left halves of her brain, also called these, like halves of the earth;hemispheres
24/01/2012;Double Jeopardy!;JACK BE HOMONYM-BLE;$400;A golf interjection, or toward the bow on a ship;fore
24/01/2012;Double Jeopardy!;THE OLD BALL GAME;$400;In rounders, the ancestor of baseball, a runner was put out not by tagging but by doing this with the ball--ouch!;throwing it at/hitting the player
24/01/2012;Double Jeopardy!;ASIAN HISTORY;$400;"The Uji were clans of Japan; the Uji that won out claimed descent from Amaterasu, goddess of this heavenly body";the sun
24/01/2012;Double Jeopardy!;PLAY DATES;$400;"""M. Butterfly"" & the nomination of M. Dukakis arrived in this year";1988
24/01/2012;Double Jeopardy!;NAME'S THE SAME;$400;"This star of ""Bride Wars"" & ""The Princess Diaries"" shares her name with Shakespeare's wife";Anne Hathaway
24/01/2012;Double Jeopardy!;INSIDE THE BRAIN OF MEGAN FOX;$800;"A 2010 paper shows Megan's amygdala maintains her ""loss aversion"" when faced with decisions about risking this";money
24/01/2012;Double Jeopardy!;JACK BE HOMONYM-BLE;$800;A band for around the waist, or a shot of liquor;belt
24/01/2012;Double Jeopardy!;THE OLD BALL GAME;$800;"The Encyclopedia Britannica calls it ""the oldest of equestrian sports"", dating to ancient Persia";polo
24/01/2012;Double Jeopardy!;ASIAN HISTORY;$800;"Novosibirsk, one of the main cities of this Russian region, only dates from 1893: its name means ""new"" this Russian region";Siberia
24/01/2012;Double Jeopardy!;PLAY DATES;$800;1973 brought Secretariat's triumph & this horsey Peter Shaffer play;Equus
24/01/2012;Double Jeopardy!;NAME'S THE SAME;$800;"The actress seen <a href=""http://www.j-archive.com/media/2012-01-24_DJ_12.jpg"" target=""_blank"">here</a> goes by this royal name";Jane Seymour
24/01/2012;Double Jeopardy!;INSIDE THE BRAIN OF MEGAN FOX;$1200;When Megan enjoys a fine meal, she's employing the parietal these, right behind the frontal ones;lobes
24/01/2012;Double Jeopardy!;JACK BE HOMONYM-BLE;$1200;It means to strike with a very quick blow / or to rock the mic like Eminem, yo;rap
24/01/2012;Double Jeopardy!;THE OLD BALL GAME;$1200;"The goal seen <a href=""http://www.j-archive.com/media/2012-01-24_DJ_08.jpg"" target=""_blank"">here</a> was used in an ancient Mayan ballgame at Uxmal, on this peninsula";Yucatán
24/01/2012;Double Jeopardy!;ASIAN HISTORY;$1200;Soon after WWII, he wrote to Harry Truman asking for U.S. help in Vietnam's struggle against French rule;Ho Chi Minh
24/01/2012;Double Jeopardy!;PLAY DATES;$1200;Aptly, this O'Neill play debuted in 1946, as the Cold War was heating (or chilling) up;The Iceman Cometh
24/01/2012;Double Jeopardy!;NAME'S THE SAME;$1200;"This ex-major league pitcher can thank the country singer of the same name for his nickname ""the Gambler""";Kenny Rogers
24/01/2012;Double Jeopardy!;INSIDE THE BRAIN OF MEGAN FOX;$1600;The thalamus, part of this botanical-sounding part of Megan's brain, receives all sensory input except smell;brainstem
24/01/2012;Double Jeopardy!;JACK BE HOMONYM-BLE;$1600;A piece of wood, or to furnish with meals & lodging for pay;board
24/01/2012;Double Jeopardy!;THE OLD BALL GAME;$1600;"""Juego de Pelota"", an 18th C. Goya tapestry in the Prado, depicts an ancestor of this speedy Basque sport";jai alai
24/01/2012;Double Jeopardy!;ASIAN HISTORY;$5,000;1946's Linggarjati Agreement gave grudging Dutch recognition to the autonomy of this island country;Indonesia
24/01/2012;Double Jeopardy!;PLAY DATES;$6,000;In 1955 impatient Dodger fans got a title & the theater got the Tennessee Williams play about an impatient woman;Cat on a Hot Tin Roof
24/01/2012;Double Jeopardy!;NAME'S THE SAME;$1600;"This creator of the ""Garfield"" comic strip shares his name with the actor who played Jock Ewing on ""Dallas""";Jim Davis
24/01/2012;Double Jeopardy!;INSIDE THE BRAIN OF MEGAN FOX;$2000;"Megan's higher functions use her cerebral this; when she ""hears"" a song in her head, she's using her brain's auditory this";cortex
24/01/2012;Double Jeopardy!;JACK BE HOMONYM-BLE;$2000;Trash, or a Chinese ship;a junk
24/01/2012;Double Jeopardy!;THE OLD BALL GAME;$2000;Irish manuscripts of the 1200s B.C. describe this stick-&-ball sport that's now the national pastime;hurling
24/01/2012;Double Jeopardy!;ASIAN HISTORY;$2000;Fire shrines found in Iran show that the ancient Parthian empire followed this religion;Zoroastrianism
24/01/2012;Double Jeopardy!;PLAY DATES;$2000;"""The Misanthrope"" is from this year London was burning";1666
24/01/2012;Double Jeopardy!;NAME'S THE SAME;$2000;"This composer with a presidential name wrote the Pulitzer Prize-winning ""On the Transmigration of Souls"" to commemorate 9/11";John Adams
24/01/2012;Final Jeopardy!;ISLANDS;None;The Carabelli & Durazzo families are considered the Hatfields & McCoys of this island;Corsica
20/01/2012;Jeopardy!;COMMON COLD;$200;"This 5-letter adjective refers to 2 places on earth & is frequently used befgore ""opposite""";polar
20/01/2012;Jeopardy!;CHICKEN SOUP;$200;This McPoultry product from McDonald's went on sale nationwide in 1983;McNuggets
20/01/2012;Jeopardy!;"CLEAN ""X""";$200;This scouring powder is named for a mythical warrior who fought in the Trojan War;Ajax
20/01/2012;Jeopardy!;AIRBORNE;$200;It figures that Otto was the name of the autopilot in this 1980 movie comedy in the clouds;Airplane
20/01/2012;Jeopardy!;NIGHT QUILL;$200;In the 1880s explorer Sir Richard Burton prepared a 16-volume English translation of these tales;the Arabian Nights
20/01/2012;Jeopardy!;COMMON COLD;$400;It can describe the chilled morning air or a pooch prone to biting;nippy
20/01/2012;Jeopardy!;CHICKEN SOUP;$400;Per the American Heritage Dictionary, one of the 2 chicken internal organs that represent cowardice;the liver (or the heart)
20/01/2012;Jeopardy!;"CLEAN ""X""";$400;This company that's synonymous with bleach also makes the Green Works line of cleaning products;Clorox
20/01/2012;Jeopardy!;AIRBORNE;$400;Tom Hanks & several FedEx packages survive a particularly bumpy flight in this film;Castaway
20/01/2012;Jeopardy!;NIGHT QUILL;$1,600;"Searching for this character, Mr. Utterson says, ""I shall be Mr. Seek"" & one night does find him";Edward Hyde
20/01/2012;Jeopardy!;COMMON COLD;$600;Joy to the world!  A band took its name from this phrase describing how chilled Aboriginies slept with pets for heat;Three Dog Night
20/01/2012;Jeopardy!;CHICKEN SOUP;$600;"The moral of ""The Milkmaid & Her Pail"" is ""don't"" do this";Don't count your chickens before they hatch
20/01/2012;Jeopardy!;"CLEAN ""X""";$600;"Ben Hirsch invented this liquid auto polish; the brand now includes car wash & chrome polish";Turtle Wax
20/01/2012;Jeopardy!;AIRBORNE;$600;Nicolas Cage plays Cameron Poe, a prisoner with a heart of gold, in this flighty film;Conair
20/01/2012;Jeopardy!;NIGHT QUILL;$600;"Blake wrote that this, ""like a flower / in heaven's high bower / with silent delight / sits and smiles of the night""";the moon
20/01/2012;Jeopardy!;VICKSBURG;$600;The CSS Arkansas, one of these ships named for its armor, had a glorious 23-day career in the campaign;ironclad
20/01/2012;Jeopardy!;COMMON COLD;$800;"When used before ""pace"", it means really slow; otherwise, it refers to masses of ice";glacial
20/01/2012;Jeopardy!;CHICKEN SOUP;$800;"A book of chicken recipes by Wade Boggs is titled these ""Tips""";Fowl
20/01/2012;Jeopardy!;"CLEAN ""X""";$800;"This blue spray offers a ""streak-free shine""";Windex
20/01/2012;Jeopardy!;AIRBORNE;$800;One of the President's own men is a terrorist when the title plane gets hijacked in this 1997 actioner;Air Force One
20/01/2012;Jeopardy!;NIGHT QUILL;$800;"Works by this beloved children's author/illustrator include ""In The Night Kitchen""";(Maurice) Sendak
20/01/2012;Jeopardy!;VICKSBURG;$800;"This general found himself ""in the enemy's country, with a vast river... between me and my base of supplies""; he won anyway";(Ulysses) Grant
20/01/2012;Jeopardy!;COMMON COLD;$1000;"This word that R--Er, that sounds a lot like ""dime"" refers to frost formed in fog";rime
20/01/2012;Jeopardy!;CHICKEN SOUP;$1000;"""Hang on tight"" to this term for a bunch of eggs from a brood of chickens";a clutch
20/01/2012;Jeopardy!;"CLEAN ""X""";$1000;20 Mule Team this, a natural detergent booster, has been around since the 19th Century;Borax
20/01/2012;Jeopardy!;AIRBORNE;$1000;Vera Farmiga & Anna Kendrick were both nominated for Oscars for this 2009 film;Up In The Air
20/01/2012;Jeopardy!;NIGHT QUILL;$1000;"""December Night"" is a faith-restoring episode in Willa Cather's ""Death Comes For"" this churchman";the Archbishop
